Region,Date,Frequency,Unemployment_Rate,Employed,Labor_Participation_Rate
India,2016-01-31, M,8.72,408609380,47.7
India,2016-02-29, M,8.46,402169984,46.72
India,2016-03-31, M,8.73,397037060,46.18
India,2016-04-30, M,8.9,403488712,46.92
India,2016-05-31, M,9.65,414185605,48.47
India,2016-06-30, M,8.91,401597521,46.52
India,2016-07-31, M,8.51,399367855,45.97
India,2016-08-31, M,9.59,406539793,47.26
India,2016-09-30, M,8.43,418463537,47.94
India,2016-10-31, M,6.71,414260479,46.49
India,2016-11-30, M,6.51,401452641,44.87
India,2016-12-31, M,6.4,406231569,45.26
India,2017-01-31, M,5.93,409089180,45.26
India,2017-02-28, M,5.01,407510573,44.57
India,2017-03-31, M,4.67,405041471,44.05
India,2017-04-30, M,3.87,404907085,43.59
India,2017-05-31, M,4.03,405278054,43.61
India,2017-06-30, M,4.12,408560176,43.92
India,2017-07-31, M,3.37,402701002,42.87
India,2017-08-31, M,4.07,405548445,43.4
India,2017-09-30, M,4.63,405856846,43.61
India,2017-10-31, M,5.0,406599177,43.77
India,2017-11-30, M,4.72,409132411,43.83
India,2017-12-31, M,4.74,408355283,43.67
India,2018-01-31, M,5.01,405838316,43.43
India,2018-02-28, M,5.87,405980615,43.77
India,2018-03-31, M,6.0,402405346,43.35
India,2018-04-30, M,5.57,401930972,43.02
India,2018-05-31, M,5.14,401972361,42.75
India,2018-06-30, M,5.75,401484904,42.88
India,2018-07-31, M,5.66,401114819,42.72
India,2018-08-31, M,6.27,397988063,42.58
India,2018-09-30, M,6.47,403098663,43.13
India,2018-10-31, M,6.83,396084619,42.46
India,2018-11-30, M,6.65,401073049,42.83
India,2018-12-31, M,7.02,397460299,42.53
India,2019-01-31, M,6.86,406093726,43.29
India,2019-02-28, M,7.2,399913970,42.71
India,2019-03-31, M,6.65,402600865,42.66
India,2019-04-30, M,7.35,399248195,42.54
India,2019-05-31, M,7.03,403703192,42.78
India,2019-06-30, M,7.87,400337390,42.73
India,2019-07-31, M,7.34,403064278,42.69
India,2019-08-31, M,8.19,403245519,43.02
India,2019-09-30, M,7.14,406718757,42.81
India,2019-10-31, M,8.1,404124236,42.9
India,2019-11-30, M,7.23,403049912,42.3
India,2019-12-31, M,7.6,405647546,42.66
India,2020-01-31, M,7.22,410473913,42.9
India,2020-02-29, M,7.76,405954169,42.6
India,2020-03-31, M,8.75,395840756,41.9
India,2020-04-30, M,23.52,282203816,35.57
India,2020-05-31, M,21.73,313793837,38.57
India,2020-06-30, M,10.18,376993536,40.3
India,2020-07-31, M,7.4,392341064,40.61
India,2020-08-31, M,8.35,392520303,40.96
India,2020-09-30, M,6.68,397739844,40.68
India,2020-10-31, M,7.02,396450375,40.62
India,2020-11-30, M,6.5,394133855,40.08
India,2020-12-31, M,9.06,388777142,40.56
India,2021-01-31, M,6.52,400709258,40.59
India,2021-02-28, M,6.89,398213434,40.43
India,2021-03-31, M,6.5,398145073,40.17
India,2021-04-30, M,7.97,390790128,39.98
India,2021-05-31, M,11.84,375727008,40.04
India,2021-06-30, M,9.17,383469051,39.59
India,2021-07-31, M,6.96,399714145,40.21
India,2021-08-31, M,8.32,397784327,40.52
India,2021-09-30, M,6.86,406104468,40.64
India,2021-10-31, M,7.74,400886546,40.42
India,2021-11-30, M,6.97,402664041,40.19
India,2021-12-31, M,7.91,406012456,40.85
India,2022-01-31, M,6.56,402616049,39.84
India,2022-02-28, M,8.11,397057157,39.89
India,2022-03-31, M,7.57,395969754,39.46
India,2022-04-30, M,7.83,402949020,40.19
India,2022-05-31, M,7.14,403886697,39.9
India,2022-06-30, M,7.83,390822128,38.83
India,2022-07-31, M,6.83,397050067,38.94
India,2022-08-31, M,8.28,394606374,39.24
India,2022-09-30, M,6.43,404078772,39.31
India,2022-10-31, M,7.92,398496185,39.31
India,2022-11-30, M,8.03,402126213,39.64
India,2022-12-31, M,8.3,410238658,40.48
India,2023-01-31, M,7.14,409283832,39.8
India,2023-02-28, M,7.45,409873285,39.92
